G. GONZáLEZ,Engineering,1
KIM B. BRUCE,Paradigm,1
DAVID C. RICHARDSON,Data,1
A. M. MORENO,Tools,1
WOLFGANG THOMAS,Automata,1
ELENA CASTRO,Schemata,1
YORICK WILKS,Adaptive,1
RAVI S. SANDHU,"Authentication,",2
A. GONZáLEZ,Access,1
MANUEL VELASCO,Schemata,1
HENK BARENDREGT,Systems,1
JOSé BRAVO,Environments,1
YASUFUMI TAKAMA,Scenic,1
BORYS OMELAYENKO,Meta-ontology,1
RAVI MURTHY,Extensibility,1
PETER MCBURNEY,Chance,1
MANUEL ALFONSECA,Automatically,1
GIANLUIGI ZAVATTARO,Tour,1
WALTER DEALEMANS,Extraction,1
HOCK CHUAN CHAN,Review,1
HARTMUT EHRIG,Review,1
PADHRAIC SMYTH,Theory,1
DAVID MAIER,Making,1
ROGER B. DANNENBERG,Music,1
HIROKO SHOJI,Discovery,1
JACK MILTON,"Messages,",1
TOMáS A. PéREZ,Knowledge,1
JACK MILTON,"Objects,",1
SUSHIL JAJODIA,Using,1
QI FAN CHEN,Algorithms,1
ROBERTO ZICARI,System,1
SANDEEPAN BANERJEE,Your,1
BARRON C. HOUSEL,System,1
RICHARD M. KARP,Algorithmic,1
TOMáS A. PéREZ,Access,1
JOSé LUIS FERNáNDEZ ALEMáN,Seamless,1
ABDELSALAM HELAL,Optimization,1
RAVI MURTHY,Architecture,1
JEAN-LOUIS LASSEZ,Programming,1
Y. KIM,Transaction,1
A. GONZáLEZ,User,1
MICHAEL J. JIPPING,Language,1
DEAN ROSENZWEIG,The,1
DANIELA PETRELLI,Information,1
DWIGHT DEUGO,Coordination,1
KENG SIAU,Goms,1
LILIANA FAVRE,Uml,1
SERGE ABITEBOUL,Query,1
PERETZ SHOVAL,Enforcing,1
ALEXANDER BOCKMAYR,Solving,1
RICHARD T. SNODGRASS,Types,1
JIM A. CRAMMOND,Benchmarking,1
ANTONIO NAVARRO,Applications,1
ULRICH SCHIEL,Extensible,1
SOPHIE CLUET,Query,1
CORAL CALERO,Metrics,1
DAVID HAREL,Theory,1
LUIS E. ANIDO-RIAL,Courseware,1
JAMES C. LESTER,Computing:,1
JEFF RICKEL,Pedagogical,1
HARTMUT EHRIG,Expectations,1
ARTO SALOMAA,Road,1
MANUEL VELASCO,Relationship,1
WEI-MIN SHEN,Metaqueries,1
ANTONIO DI LEVA,Dataid,1
A. GONZáLEZ,Pedagogical,1
BALTASAR FERNáNDEZ-MANJóN,Hypermedia,1
ELENA CASTRO,Cardinality,1
ARMIN B. CREMERS,Interoperable,1
Q. WU,Approaches,1
CRESCENCIO BRAVO,Learning,1
A. MECCHIA,Data,1
MANUEL CAEIRO,Training,1
JOHN LIM,Language,1
VINEETH KUMAR PALERI,Formal,1
JOHN A. STANKOVIC,Real-time,1
SYLVIA L. OSBORN,Object-oriented,1
BERND MAHR,Practice,1
BORYS OMELAYENKO,Rdft:,1
CLARK ELLIOTT,Computing:,1
JULIáN GUTIéRREZ SERRANO,Limiting,1
R. CONEJO,Suprasegmental,1
ABDELSALAM HELAL,Transaction,1
TOMáS A. PéREZ,Adaptive,1
F. J. GONZáLEZ,Parameters,1
JAMES FELDMAN,Digital,1
ARTO SALOMAA,Coloring,1
LUIS E. ANIDO-RIAL,Via,1
